class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
e,11.06,f,s,g,f,s,b,7.57,1.955,u,f,f,l,a
e,11.65,s,s,g,f,s,b,8.17,1.917,b,f,f,l,a
p,15.04,f,t,g,t,d,b,5.63,2.811,n,f,f,d,u
e,7.95,s,s,g,f,s,b,8.33,2.117,b,f,f,d,w
e,7.04,f,s,g,f,s,b,6.97,1.874,u,f,f,d,a
e,9.28,f,s,g,f,s,b,6.31,1.743,u,f,f,l,w
p,12.39,s,t,g,t,d,b,4.94,2.423,r,f,f,g,u
e,8.18,s,s,g,f,s,b,6.4,1.806,b,f,f,l,w
e,8.67,s,s,g,f,s,b,7.91,1.964,u,f,f,l,a
e,9.87,f,s,g,f,s,b,7.45,2.012,b,f,f,l,a
e,9.95,s,s,g,f,s,b,6.51,1.952,b,f,f,d,a
e,10.99,s,s,g,f,s,b,7.4,1.959,b,f,f,d,a
e,6.67,s,s,g,f,s,b,5.45,1.767,u,f,f,l,w
p,9.65,f,t,g,t,d,b,4.55,2.222,n,f,f,g,a
p,18.53,s,t,g,t,d,b,5.21,2.449,r,f,f,d,a
e,11.13,s,s,g,f,s,b,9.17,2.058,u,f,f,d,a
p,12.1,x,t,g,t,d,b,4.92,2.481,r,f,f,g,a
e,8.99,f,s,g,f,s,b,6.24,1.991,b,f,f,d,a
e,8.64,f,s,g,f,s,b,7.63,1.927,b,f,f,d,a
e,9.77,f,s,g,f,s,b,7.32,2.054,b,f,f,d,w
p,15.19,x,t,g,t,d,b,4.93,2.371,n,f,f,l,a
e,12.26,s,s,g,f,s,b,7.92,2.367,b,f,f,d,w
e,9.18,f,s,g,f,s,b,7.0,2.049,u,f,f,l,a
e,11.09,s,s,g,f,s,b,8.07,2.222,b,f,f,d,w
p,13.0,x,t,g,t,d,b,4.74,2.267,g,f,f,d,a
e,8.4,f,s,g,f,s,b,6.19,1.721,u,f,f,l,a
p,16.7,s,t,g,t,d,b,5.47,2.817,n,f,f,g,a
e,6.11,f,s,g,f,s,b,5.47,1.53,b,f,f,d,a
e,10.52,s,s,g,f,s,b,7.47,1.961,b,f,f,l,w
p,11.66,f,t,g,t,d,b,4.36,2.426,r,f,f,d,a
e,9.3,s,s,g,f,s,b,7.01,2.089,b,f,f,d,w
e,6.44,s,s,g,f,s,b,7.13,2.089,u,f,f,l,a
